code,name,process,stage,validity,duration,opening
101-0001-LPU18,Servicio de limpieza del edificio INPI,Licitacion Pública,Única,60 Días corridos Acto de apertura,12 Meses,29/11/2018
101-0001-LPU19,Adquisición de equipos de seguridad perimetral,Licitacion Pública,Única,60 Días corridos Acto de apertura,60 Días corridos,17/9/2019
101-0002-LPR18,Adquisición de storage de almacenamiento,Licitacion Privada,Única,60 Días corridos Acto de apertura,30 Días corridos,7/9/2018
101-0002-LPR19,Servicio de mantenimiento integral de ascensores,Licitacion Privada,Única,60 Días corridos Acto de apertura,12 Meses,27/5/2019
101-0003-CDI19,"Suscripción al servicio de editorial ""La Ley"" sistema de información legal on line",Contratacion Directa,Única,60 Días corridos Acto de apertura,12 Meses,30/5/2019
101-0003-LPR18,Alquiler de equipos digitales,Licitacion Privada,Única,60 Días corridos Acto de apertura,12 Meses,21/9/2018
101-0003-LPR19,Servicio de transporte de caudales,Licitacion Privada,Única,60 Días corridos Acto de apertura,12 Meses,6/8/2019
101-0003-LPU18,Servicio de call center,Licitacion Pública,Única,60 Días corridos Acto de apertura,12 Meses,31/5/2019
101-0004-CDI19,Mantenimiento de grupos electrógenos,Contratacion Directa,Única,60 Días corridos Acto de apertura,12 Meses,31/5/2019
101-0004-LPR18,Renovación de licencias.,Licitacion Privada,Única,60 Días corridos Acto de apertura,24 Meses,3/12/2018
